Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	2981	6504	3379	51.95	3.66	30.81	279610	0
200	2985	6560	3424	52.20	3.67	28.47	269777	0
300	2966	6514	3401	52.21	3.53	27.93	268610	0
400	3039	6507	3318	50.99	3.54	31.59	271600	0
500	3044	6534	3347	51.22	3.70	27.96	277378	0
600	2982	6525	3397	52.06	3.55	26.07	272901	0
700	2987	6527	3397	52.05	3.59	28.76	275187	0
800	2937	6530	3449	52.82	3.49	28.00	272134	0
900	2978	6536	3414	52.23	3.70	32.56	273058	0
1000	2966	6502	3395	52.21	3.62	25.66	270773	0
