Seed	LostPackets	totalTx	totalRx	PDR (%)	HopCount	Delay (ms)	PhyRxDrop	PhyTxDrop
100	2205	8444	6132	72.62	3.40	24.66	226350	0
200	2165	8467	6197	73.19	3.39	19.68	224877	0
300	2205	8475	6167	72.77	3.33	25.70	231259	0
400	2329	8477	6047	71.33	3.43	20.41	230402	0
500	2144	8466	6205	73.29	3.35	22.38	227249	0
600	2213	8459	6137	72.55	3.35	28.85	225020	0
700	2160	8500	6244	73.46	3.41	24.23	230498	0
800	2177	8454	6164	72.91	3.35	22.16	231949	0
900	2144	8423	6169	73.24	3.33	27.18	230238	0
1000	2163	8480	6210	73.23	3.37	23.62	225938	0
